[admin.py:29] - 2024-02-26 14:08:34,794 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:559] - 2024-02-26 14:08:34,794 - ERROR - File must be run with admin privileges
[admin.py:70] - 2024-02-26 14:08:34,905 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\moket\\AppData\\Local\\Programs\\Python\\Python312\\pythonw.exe', 'C:\\Users\\moket\\Desktop\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2024-02-26 14:08:34,905 - INFO - Running command 'C:\\Users\\moket\\AppData\\Local\\Programs\\Python\\Python312\\pythonw.exe' - 'C:\\Users\\moket\\Desktop\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2024-02-26 14:08:36,456 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:191] - 2024-02-26 14:08:36,540 - DEBUG - STREAM b'sRGB' 41 1
